,Unnamed: 0,comment,sentimen
16,16,dana haji sangkut surga neraka bisa dikorupsijika dana bansos jelas kt korupsi tuhan sangat amat marah bahkan mgkn kutuk keluarga hingga anak2 aja dikorupsiapalagi tapera cm dar rumah bukan dana haji bukan bansosya jelas di korps lahsebelum buat program sarna lunas dulu lama2jangan pakai sistem gali lubang tutup lubang krena tapera2 kmrn g bs cair skrg cari dana utk tutup lubang tp cara dgn gali lubang lainkasihan presiden2 rakyat2 lanjut hrus tutup lubang yang baru yang skrg mah enak dah pensiun balik kota sol santai2 ama cucuk ja esteh,negatif
17,17,logija tapera dari 200jt org dewasa indonesia rasa manffat mgkn cm 100jt 100jt sisa tersiksademi cm bantu 100jt org lain itk hutang bkn kasih rmh lho yah bedakanjdi kt anggap 200jt bayar tapera 100jt org penghasilna bwh 8jt 100jt org atas 8jtyang hasil tinggi ga dpt manfaat apa2 sama sekali yes sama sekali kan kelola manajemen investasi investasi jg risk bs aja nanti bilang lagi inflasi pasar modal lg anjlok lalu uang kt hilang dgn alas mi dgn alas musibah tanggungjawab kt samad lucu hasil rendah bukan rumah gratis tp cm dpt kredit murah jdj warga miskin paksa utk hutang perintah lama 30thn tahu kalian byk ahli ekonomi ahli sosial sepakat bhwa hutang piutang is modern day slavery punya duit slavery miskinudah miskin penghasikan rendah gaji potong 3 kasih rmh jelek kecil jauh tidak pilih terus budak lama 30thn bayar kredit lama 30thn gaji kt jg potong 3 wowbayangin yah klo kt dpt kpr thn 2025 baru lunas thn 2055 klo mulai cicil umur 30 baru lunas umur 60thn lama 30thn kt hrus bayar cicil bayar tapera 3 bayar bpjs bayar pph 1001 pajak lain tanya begini si org bantu kpr nyicil 30thn lalu di thn 29 ga mampu bayar krena lets say jatuh sakit kena phk rumah tarik akan langsung anggap lunas perintah iya tarik fix 29thn adalah 29thn perbudakantapera bukan win win solution bkn jg win lose solution lose lose solutionyang kaya rugi g dpt apa2 miskin kena jebak batman masuk budak hutangsealam nikmat 30thn jadi budak hutang paksa perintah sndiri,negatif
18,18,oke gas buat ikn,negatif
19,19,awas korupsi,negatif
20,20,lu endors brp sih,negatif
21,21,fyi bang kalo 25 bayar perintah kalo 05 bayar pegawai kalo swasta ikut investor teriak wkwk,negatif
22,22,tebak siapa dulu ketangkep,negatif
23,23,aku bangga sih bagi 03 16 jogetin tidak sih oke gas oke gas oke gas oke gas,negatif
24,24,ulas sangat baikyang paling buat banyak orang tolak saya potensi korupsi lembaganyakalau korup asuransi beberapa pernah kan ucap jamin pemerintahingat berapa banyak nasabah bank century uang hilang aja perintah ambil sikap masa bodotidak jelas satu orang yang bisa minta pertanggungjawabannya,negatif
25,25,sudah kalau memang perintah niat baik buat rumah masyarakat kurang mampu talang dulu buat rumah angsur masyarakat dapat rumah lalu program taperajadi khawatir akan ada akalakalandulu tahun 70an perumnas mampu buat rumah lain depok angsur relatif jangkau waktu rp10 ribubulan lama 20 tahun sejak tahun 1976masa sekarang konon maju malah mampu,negatif
26,26,kalau malaysia semua orang cari kerja ada epf potong rata 711 company perlu contribute 13 tabung pecah 3 akaun akaun 1 boleh keluar masa hari tua,negatif
27,27,jadi problem utama tingkat percaya masyarakat perintah ngertilah perintah wakanda gudang tikus bawah sampe atassalah satu dampak perintah banyak duduk orang tidak kompeten bidang,negatif
28,28,maling galo kate urang jmbi,negatif
29,29,rakyat jabat,negatif
30,30,gin bang bikin orang masuk ga ikhlas dikenain tapera1 serta tapera nikmat manfaat golong masyarakat dapat rendah bintang2 masih kriteria2 detail orang middle class kondisi cicil existing berat dong apa manfaat buat kalau bpjs pajak jelas2 semua kelas masyarakat bisa nikmat hasil tapera2 tapera sinyalir guna crowd funding perintah biaya ikn gimana cara tapera kabar putar uang obligasi negara obligasi negara fungsi biaya apbn salah satu porsi makan siang gratis ikn tau negara milik gelintir orang kali mudaharatnya besar sekali paksa semua kelas masyarakat laku refer point 1 ada manfaat bagi kaum middle class keatas3 potensi korupsi sangatsangat besar sejak kasus mario dandy tingkat percaya masyarakat turun drastis jujur opini pribadi hampir uang tapera nya seleweng oknum mayoritas get it oknum mayoritas4 tapera sama bansos apalagi judi online mau kasih alat rezim sekarang gaet suarasuara orang miskin tinggal desarekanrekan semua jadi malas garagara umur produktif ungkang2 kaki tiap hari dapet sembako bbrp juta kalau memang 58 warga indonesia pilih wajar memang di manja bansos hal2 kaya gin mereka larang kaya perintah tetap malas bodoh tapi kalian dibayarin hidupnyaall in all gausah bawa narasi gotongroyong bantu saudara2 beli rumah tau semua coverini semua hanya opini kaum karyawan gen triplesandwhich harus bantu 2 keluarga urus keluarga pribadiwalaupun tidak pernah ridha ikhlas kalau perintah bagai amirul mukminin putus akan ikut,negatif
31,31,arti konoha uda krisis perintah terlalu rakus,negatif
32,32,harap indonesia punya ide baik utk warga warga kurang mampu,positif
33,33,wkwk bpjs gw bg rumah sakit pake bpjs cuekin,negatif
34,34,sy suka konten bg raymond kalo bahas tema apa sgt lugas mudah erti singkat padat,positif
35,35,bikin sistem masuk akal aja 2 priode rakyat bohong apa kurang puas buat rakyat sengsaraj,negatif
36,36,kalau itungan matimatika gk bakal cuma ngeruk duit rakyat,negatif
37,37,petisi ayok bikin petisi,negatif
38,38,boleh2 aja asal ruu ampas aset utk koruptor sahkanitu baru cengli lama belum sah pikir2 dulu,negatif
39,39,simpel aja uang tapera kalo taro bank bunga tabung lari kmn buat apa aja 100jt duduk x 100rb aja udah 10triliun per bulan x 1 tahun 120t contoh uang twrsebut taro bca digital blue suku bunga tabung 3tahun 3 120t 36t tuh tahun nanti gulung terus tiap tahun buat jabat maen candy crush enak tuh kaya topup 100jtmah kliatan,positif
40,40,jngan makan sales marketing guys,positif
41,41,bahan korupsi baru,negatif
42,42,jenius potong gajih tanpa utang sedia rumah murah jangkau sesuai daya beli masyarakat,positif
43,43,awal skeptis dr judul video krn udah takut duluan isi ga fair dukung perintah telah nonton jadi lega krn isi informatif imbang memang banyak yang bikin tapera rawan buat disalahgunakan bikin berat rakyat great video,positif
44,44,kerja bukan karyawan buruh hari lepas padagang usaha mikro tidak sih ikut program taperaserius nanya,negatif
45,45,insightful mas raymond,negatif
46,46,uang taperauangnya ditradingharapan untung besarbisa ikan perumahansisanya trading terus menerusberes1000 cara diatasmasalahnya kelola tuyul bukanklu tuyul akan masalah uang bahkan lenyapklu bkn tuyul yang kelola sangat bagusgitu aja repot,negatif
47,47,tuju sih kalo perintah kelola nya bersihjujurdan baik hati jdi tanya yang bertahta negara konoha orang nya jujur kan engtidak,positif
48,48,bro chin sehat udah 2 minggu ga upload konten,negatif
49,49,2013 tolak presiden sby beliau paham betul seluk beluk negara yet somehow 2016 tapera diresmikanada apa sih negara apa begitu masif nya serakah kalang atas mau bawa negara indonesia,negatif
50,50,kalo iknko oke2 aja sadar ga knp program 2 perintah aneh untuk biaya ikn ga pikir arah situ,negatif
51,51,kalau gue bilang hebat bpk pimpin konoha dy waktu selenggara milu kemarin adem banget eh pas si anakandanya menang langsung joooorrr program simpan langssuuuung publish liciiikk btulll eh lupa tungguin aja besok baru utk pimpin konoha kan visi misi mau naikin pajak tuhh beeeuuhh gilaaa ngesot ngesot dah rakyat,positif
52,52,kalau pajak silah aja gitu pasti jangan korupsi bener2 laksanakankadang sakit udah bayar pajak ending2nya korupsijadi malas bayar pajak,negatif
53,53,masalah masyarakat udah percaya sama perintah,negatif
54,54,inti perintah ga kerja utk bidang macam2 sebab distrust masyarakat pemerintahiyalah ga kerja nyata korupsi banyaksupaya masyarakat trust perintah perintah bukti kerja hangus korupsi dgn embel2 ham hangus hukum yang tumpul dllselama ga ubah jangan harap masyarakat trust,negatif
55,55,dana haji dana ada alquran sj sikat sangkut agamahubungan manusia penciptanyagimna dgn laingaji cukup pangkas lagicoba gaji pegawai negara yang jauh lebih besar mungkin,negatif
56,56,1211 kalau bilang rakyat biasa aku rakyat jelata,negatif
57,57,request dong bang budaya korupsi indonesia,negatif
58,58,sebenernya masyarakat bukan masalahin tapera cuman masalahin perintah budaya korupsi perintah yang pr besar indonesia,negatif
59,59,logika simple dana tapera asn aja gagal ruang lingkup nya lebih kecil aja gagal kok berani realisasiin 1 negara gw rasa cuma akal perintah tutup lubang dana tapera asn bocor dgn cara narik dana dri masyarakat luas,negatif
60,60,ah elah yang ngomong ente omong kosong semuaapalagi jabat era jokowow ga yang lurus bacot,negatif
61,61,daripd potong kg jelas trs duit ilang mending jd tkw tki aja jelas klu nabung beli rmh bangun rmh,negatif
62,62,tapera rubah masyarakat makin cerdas makin miskintapera buat korupsi besar anggota perintah,positif
63,63,punya rumah ngapain ikut mau riba ikut ngapain wajib,negatif
64,64,lu nyalon jadi presiden aja bg,negatif
65,65,sama perintah sama premansama suka malakbedanya terin malak pake kebijakanjd lihat atur pdahal tindakanya sama biadab,negatif
66,66,jadi masalah korupsi tenang gerinda sampai fadli zon suap suap adalah oli nya bangun suap suap ya salah satu bentuk dari korupsi nah bagaimana bisa serah kelola perintah pandang korupsi adalah positif bantu proses bangun jogetin gitu,negatif
67,67,tapera biaya ikn lol,negatif
68,68,kalo jabat amanah umr aja 2jtpadahan harga bahan pokok sama,negatif
69,69,lol,negatif
70,70,makan gratis ama ikn kan butuh dana nah buat tapera,negatif
71,71,uang kertas bukan uang investasi cryptosahamemastanah,negatif
72,72,gw tapera bakal terima masyarakat asal atur hukum mati koruptor disahkandan kalo orangorang udah punya rumah pribadi kasih benefit misal listrik gratis,positif
73,73,negara memang niat bantu rakyat kalo tapera sini alibi biar ngeruk duit tai,negatif
74,74,kasih bukti dulu serta belum jangan cuma ganti nama program doang,negatif
75,75,bg bahas indonesia emas dong,positif
76,76,indonesia program sperti hnya mnjadi lahan baru para korup,negatif
77,77,negri cuma jadi lahan bisnis,negatif
78,78,yu ulang yuk demo besarbesaran seperti tragedi trisakti seperti itu cara perintah dengar masyarakat,negatif
79,79,im with u bang ttep semangat suara edukasi,positif
80,80,koh bahas muhammadiyah tarik dana uang bsi,negatif
81,81,kalau malaysia epf 11 potong gajimajikan tambah 12tapi multi fungsiboleh keluar darurat misal covid19malah kalau mau potong epf anggap bodoh bodoh kau simpan sendiri bank 11 kau tidak dapat tambah 12 majikan 7 perintah,negatif
82,82,3 hanya utk tampung inflasi aje silap2 kalu inflasi negara lbh 3 jd nilai duit jd lbh miskin,negatif
83,83,sistim perintah sudah kiamat rusak,negatif
84,84,perintah gagas ide tapera bodoh jika bener ada dana triliun buat bangun rumah dulu lah trus kira kira harga bisa kebel engga para nasabah tapera dg gaji serba pas pas aja kok mau potong pribadi pesimis perintah mampu sedia rumah buat semua masa kerja beda beda ga semua selalu kerja,negatif
85,85,saya program tapera tapera hasil catat kalo tapera bukan satusatunya tabung buat beli rumah tapera sangat kecil ada orang berprnghasilan tinggi tapera bisa hasil dengan catat uang tapera semua masyarakat kumpul lalu olah perintah jadi rumah kalo tapera per pribadi bisa karena yang hasil rendah kurang tahuso gw tuju,positif
86,86,lu sama temoti kaya siapa bg sekarang,positif
87,87,mending aku renti kerja pt pada kasi ke setan das,negatif
88,88,hitung hitung aja masuk akal kok dukung kata komisioner bp tapera kata,negatif
89,89,rumah nya,negatif
90,90,apa bisa percaya perintah konoha bpjs aja layan nya ogahanbisa nya nguras rakyat aja,negatif
91,91,bro bahas phk industri tekstil lagi booming sekarang biar netizen maha benar selalu salah 58 paham,negatif
92,92,negara konoha korup udah ketulungan jdi mau bikin program apa dah kaya paksa sedekah aja ikhlas,negatif
93,93,klo cuma ngomong dn dukung sh bs ajasemua bs uang rakyat korupsi perintah nama bijak cuma halus aja kesan,negatif
94,94,rakyat udah percaya sama perintah bagai cara akal bulus buat korupsi hukum korupsi tegas aja dulu baru masyarakat percaya hukum indonesia sangat lemah gimana masyarakat mau percaya sama perintah,negatif
95,95,program abuabu jabat ga percaya,negatif
96,96,bukan tapera takora tabung kosan rakyat masa kerja 30 tahun 46 juta haya cukup biaya ngekost,negatif
97,97,program bagus awas buadjingan semua hahaha,negatif
98,98,potong gaji kerja malaysia utk epf 11,positif
99,99,tapera uang dimasukin obligasi nah apbn minus jadi ngutang jadi tapera bisa aja masuk apbn nah apbn buat ikn jadi uang tapera masuk ikn iji benar penting bisa tahap,negatif
100,100,suara indonesia darurat ekonomi tahun puluh ribu anggur ijazah makin tambah pecat usaha jadi anggur baru terus bertambahhal jadi lingkar setan hancur ekonomi rakyat stimulus perintah naik umr ump atas 7jtaan stimulus daya beli kelas tengah paling potensial beri dampak besar putar uang masyarakat umkm kelas tengah tahan daya beli putar ekonomi lambat industri2 otomotif properti kuliner pariwisata hibura fashion sangat gantung kelas tengah kalau kelas tengah fokus uang biaya hidup makin gerus simpan ekonomi lambat pasti usaha mem phk banyak karyawannya mana2 maka hancur ekonomi indonesia ump umr naik jadi stimulus besar daya beli masyarakat ekonomi putar lebih baik banyak usaha baru buka karena daya beli masyarakat kelas tengah sudah normal perusahaan2 tadi laku pecat kembali rekrut karyawan karena ada peluang ekspansi kembali memang awal umr naik dampak buruk para usaha karena beban besar itu perlu peran perintah stimulus umkm para usaha nyata lapang inflasi banding lurus dgn naik umr mentidakibatkan daya beli kelas tengah umum turun rupiah terus melemahhal ini adalah lintidakaran setan tidak akan putus jika tidak ada stimulus imbang inflasi naik umrtumpuan daya beli masyarakat kelas tengah,negatif
101,101,bg modal dluh aku dp mobil l300 mau main antar jemput barang capek jadi kernek ada maju nabung buat nikah aja sanggup ilmu dalam usaha cuma mobil bg kasih kerja jadi satpam aku sangat syukur bg ijazah ku ada,positif
102,102,smpat dpet bocor dr medsos dana dbuat mnutup defisitkerugian ekonomi negara wkw,negatif
103,103,islam tapera haram jadi ikut tapera harusd tanya islam nya,negatif
104,104,mimpi,positif
105,105,tapera tabung peras rakyat rencana bagus depa jadi sakit uang jadi main jabat elit,negatif
106,106,nyari kerja aja susah hrusny pemerinth sedia dulu lpangan pkerjaan banyak banyak nya baru masyarakat tuju progam tapera,negatif
107,107,jangan menyamkan indonesia dgn negara2 indonesia luwas jabat nya suka korupsi,negatif
108,108,ada malah jadi ladang korupsi klo emang niat sejahterain rakyat majuin ekonomi stabilin harga mudah urus rakyat nnt rakyat mah cari jalan sendiri,negatif
109,109,taperalbh baik kasih rumahy dlu baru potong gajidaripfa potong gaji tp rumahy ga krna korupsi,negatif
110,110,gimana ngga dijelekin1 skema ngga logis buat skema jelas hal masuk akal2 tingkat percaya perintah rendah bisa rendah anda tahu sendiri kenapa3 ntah mereka bikin konyol negara sendiri akan wibawa ngga jadi wajar dijadiin ejekanmenurut gw bikin program ngga jelas kaya program2 belum ngga perlu gw jelasin program apa dah tuh mungkin komentar jg lebih tingkatin dulu percaya masyarat nyata transparan baru bikin program skema yang jelas rakyat udah g bodoh kaya dulu wajar yang ngga tuju anggap ga masuk akal informasi mudah dapat skrg soalnyayang guna dana haji buat infrastruktur aja gimana tuh kemarin lanjut,negatif
111,111,sempga makin sadar rakyat indonesia kalo perintah dassrnya emang mau benah masadepan indonesia mereka bikin bisnis bodog sejahtera kantongsn sendiri perintah sendirj yakin malaysia it work karna perintah bener mau benah nah indonesia to much korupsi kemarin aja yang korupsi milyaran cuma penjara 25th aku lihat narasi,positif
112,112,duh lihat tri jokowi bagus bidang bangun doang lain ampasaazzzzzz,negatif
113,113,tuju bagus cuma cara jalan masalah,negatif
114,114,satire haaa good lahbingung gw makin sini makin kesana tabung kok paksa kelola jelas berubahubah,negatif
115,115,saat rakyat minta hak nya negara korupsi kalo dihitung2 dulu sampe skrg tambah parah nilai ratus bahkan ribu triliunitu semua punya rakyat indonesia rampok maling2 bangsatrakyat bosan ada ubah sama sekaliindonesia segala kaya alam nya mampu lebih rakyat brunei bahkan singaporenegeri sejati jajah sama pejabat2 nya sendiri,negatif
116,116,yakin abis korupsi,negatif
117,117,apa kabar jasa raharja apa kabar twp tni apa kabar dana haji apa kabar dana bansos lanjut tapera sasar ikut semua pengolahanmenajemen uang,positif
118,118,program bagus lebih bagus kalau konsep rumah susun kalau babat lahan sawah makin habis ntar sawah yang jadi masalah yang ngurus perintah indonesia tuhan aja berani dusta gimana manusia,negatif
119,119,udah punya rumah nyicil udah lunas baru selesai nafas legaehh potong buat tapera sekarang sy butuh nabung nuat sekolah anak2 bisa akses sewaktuwaktu tapera guna buat aq,positif
120,120,niat bagus endingnya ngga masuk akal udah iur mau pake cuma cukup buat dp bayar angsur baru beli rumah itu kalau tuju sama developer bayar iur ke developer bank untung buat rakyat apa,negatif
121,121,bukan teori bro udah statementnya dana 80 masuk surat utang negara makanya lanjutin oke gas oke gas oke gas,negatif
122,122,real nya banyak banget karyawan udah punya cicil cicil leasing kendara cicil kpr cicil kartu kredit bahkan cicil payletterdllso even 3 matters,positif
123,123,rasarasanya lihat pucak gunung es salah satu sebab adalah kurang mampu indonesia tampil image mampu tarik investasi kurang tumbuh modal fisik indonesia kurang investasi jadi tabung paksa jadi satusatunya cara tingkat loanable fund pasar finansial indonesia cmiiw,negatif
124,124,jangan kasi tapera sepi up terus,negatif
125,125,increase your financial iq dont believe other if you dont know who is that person,negatif
126,126,negara ini sangat percaya kok percaya korupsi makin banyak,negatif
127,127,bagus kelola bukan bermentalkere hobby nyolongilegal dgn moral orbaisme demu penting sikeremunggahmbale,negatif
128,128,indonesia siap itu kalo banyak korupsihampir sama kayak jepang bayar uang nengking bayar tiap bulanjadi pas umur 65 th kembali walau tinggal bayar keluarga sistem tapera sih bagus kalo perintah aja banyak korupsi gimana bagai warga negara percaya perintah bisa hukum kejam kejam seluruh laku korupsi masyarakat susah percaya perintah,negatif
129,129,program korupsi semua peras terus rakyat kecil kami matipemerintah mana peduli penting cuan merekabicara real ajah bro usah ngarep tinggi,negatif
130,130,kya bpjs bnyak daftar saatn cair bnyak yang tau uang dikoropsi,positif
131,131,kalau atur yang korupsi di berat gimana program perintah masyarakat akan pernah royal,positif
132,132,kata salah satu jabat duit olah obligasi surat utang negara nah bangun ikn pake apa pake utang kan negara nerbitin surat utang rakyat beli hahahaha emang bener tapera buat bangun ikn baru lagi g0bl0k banget manager investasi cmn ngasilin 4 tahun orang buta ekonomi beli emas naik rata rata 10 20 tahun bisa lebih cuan wkwkwk,positif
133,133,bpjs aja dlu korup percaya w sama jabat,negatif
134,134,koko bahas rupiah sekarang dong lagi lemah sama era pak habibi kuat,negatif
135,135,jadi masalah masyarakat soal trus issue parah negara engga beri solusi yang konkret jawab trust issue kalo cara ngejawabnya cuman tapera tidak guna yang mah bendahara kelas sd bisa,negatif
136,136,uu hukam mati koruptor jadi baru mungkin masyarakat percaya,negatif
137,137,tambah derita rakyat,negatif
138,138,channel kan nya rejm,negatif
139,139,bpjs bagus defisit beberapa hal1 masyarakat jadi anggota sakit bayar iur 1 bulan obat tanggung telah bayar iur solusi kasih syarat batas minimum durasi anggota bpjs dicairkan2 rumah sakit banyak markup biaya obat bpjs nya kelas 1 nyata beri kelas 2 alas penuh mungkin benar tetap kena biaya kelas 1 bpjs solusi sidang dada bpjs rumah sakit tanya sedang obat status bpjsnya sanding fasilitas beri rumah sakit bila sesuai kena sanksi yang paling parah cabut anggota pidana kelola,negatif
140,140,kunci cuman satu kepercayaansekelas tabung dana haji tuju buat ibadah sja korup aplgi sprti inisudahlah mmg indo ni kek as petinggi,negatif
141,141,simpel sajapelaku korupsi aja ketawamasih hidupmasyarakat percaya apa tidakjawabannya engga percayahukuman mati aja laku korupsi aja manasampai skarang mangkrak,negatif
142,142,otw socialist route,negatif
143,143,kita bayar buat rumah orang,negatif
144,144,indonesia kurang orang pintar kurang orang jujur,negatif
145,145,betul bro kwsp potong an dr gaji kerja employee 9 hingga 10 sahaja 13 majikan employer wajib contribute bulan kpd kerja jd bila gabung simpan akn tambah tahun dividen rana labur dlm kor komoditi negarakwsp utk tabung rumah didik anak rumah haji tp dibahagi kpd akaun hari tua akaun cemas akaun flesksibelboleh keluar kan according to their needs terms conditions applied gabung sama kwsp socso tabung minimum majikan kpd kerja utk cemas kalau malang cacat kekal cacat separate malah jd hibah pd pasanganisteri di tinggalkn anak kerja libat malang skg aku hati kerja rana milih jaga anak kwsp aku di potong tp duit ngumpul tambah terus rana dividen nya jalan terus tahun sgt berbeza dgn tapera lho,negatif
146,146,sekarang malah anak kecil suruh ikut tapera,negatif
147,147,program untung usaha property bank tampung danadana soaial aja kumpulakan rakyat aja lama puluh tahun di korupsi mulai bpjs taspen dana haji baznas asabri askes jiwasraya belum pph 21 makin cekik rakyatjadi jangan heran asn banyak korupsi potong pajak bpjs tambah mencekikkapan sejahtera,negatif
148,148,ko lu selamat diri sekoci yang bilang timothy ronald,negatif
149,149,hahhhh,negatif
150,150,peras trsss lemah,negatif
151,151,klo tapera direktur yusuf mansyur mungkin banyak percaya wkwkwk,negatif
152,152,masalah utama bantas dulu korpusipercuma ngumpulin duit kena pajak potong klo ujung2nya korupsi,negatif
153,153,jujur aja kalau ruu ampas aset resmi aku terima tapera sih ruu sebut sah rasa berat banget terima tapera,negatif
154,154,paling korupsi tapera ada aja mana jamin macett kan iming2 itu,negatif
155,155,tapera tak peras,negatif
156,156,inti resin dulu korupsi negeri masyarakat mungkin lebih tenang percaya perintah akan program kaya gin,negatif
157,157,sistem perintah belum siap,negatif
158,158,bukan ga percaya abang ku masalah apa negri wakanda urus duit korupsi siapa berani jamin duit kaga di korupsi,negatif
159,159,rumah subsidi lokasi biasa jauuuuhkalau hasil minim ongkos ya ttp berat,negatif
160,160,yang awal banget ngusulin tapera siapa sih coba cek iq nya,negatif
161,161,sebenernya semua program bas gotong royong utk masyarakat bagusasalkan korupsi,positif
162,162,inti beri hukum mati korupsi atas 10jt kasus korupsi 10 jt bawah denda penjara minimal 10 tahun penjaragimana mau generasi emas maju korupsi rajalela kasuskasus besar diam hukum yang tegas kah negara yang mau maju,positif
163,163,warga potong 3 trus aju kpr bentur dgn bi checking lalu bagaimana,negatif
164,164,korban jelas kalang tengah,negatif
165,165,ikn selesai tapera jadi solusi,negatif
166,166,negara koruptor kok dititipin duit gaib,negatif
167,167,sorry expect return 45th wtf are you kidding me suku bunga sekarang aja udah g masuk akal deposito aja skrg kasih 6 bahkan yang brani 78 dear goverment are you kidding with us,negatif
168,168,,neutral
169,169,investasi bodong wakakka,negatif
170,170,denger si raymond chin sok cerdas bela tapera mending denger analisis om bennix,negatif
171,171,bagaimana kalau tapera sahkan bareng uu hukum mati koruptor,negatif
172,172,ada seleweng bang,negatif
173,173,potong aja gajih2anggota dpr aja cukup buat bangun rumah seluruh indonesia,positif
174,174,tappera invest bodong,negatif
175,175,tapera tambah peras rakyat,negatif
176,176,janji manis,positif
177,177,masalh nya paksa rakyat dapat rupa unsur riba dosa besar,negatif
178,178,percaya hhaaaaaahhhh serius kasus syl aja masih geleng geleng,negatif
179,179,kalau mau buat bijak bantu orang punya rumah coba perintah buat rumah banyak dulu kasih keluarga belum punya rumah kita tinggal bayar 3 hasil di anggap uang sewa itu baru bantu nama,positif
180,180,perintah kaya lupa kalau abis buat uu cipta kerja uu baru hampir ga karyawan tetapbaru 1 bulan kerja bsa langsung putus kontrak usia 25th dah mulai susah dapet kerja karna batas usia tambah jga dah punya bpjs pensiun sama persis kaya tapera wajib potong gbsa ganggu sampe usia 58th sistem cpta kerja skrang hampir mustahil kerja swasta bsa sampe usia 58th ujung ujung buat lupa sama uang dah potong buat tapera bpjs pensiunkalaupun ga lupa harus klaim duit sndiri ga pernah mudah makanya sampe banyak banget calo cma buat ambil hak sndiri potong yang cukup gila,negatif
181,181,susah maju negara asai mafia,negatif
182,182,saya program sangat logis karna rumah masih atas cara untuk tempat tinggal beda jauh bpjskesehatan tdk tunda bila sakit saja sangat sederhana,positif
183,183,bangun dulu percaya rakyat,negatif
184,184,masalah nya bang uang pensiun nya bapak ku aja sampe detik gk tau duit nya mana dinurus kata nya itu ujung nya sampe sekarang gk kabar janji nya hubungin zonkpadahal ayah udah hampir 5thn pensiun nya,negatif
185,185,konsep bagus cuman eksekusi rawan korupsi satu bulan aja kalo bayar 2 juta org duit enak bgt kalo kantongin,positif
186,186,taperabayar tapera pakan tikus,negatif
