,author,date,like,comment,public
11,@Rahma_0001,2024-07-19T08:35:25Z,0,"menurutku sih kalo konsepnya kaya nabung, daripada pajak pribadi yang disebutin di video ini dipisah"" mending dijadiin satu jadi sekalian bayar dan biar ga bingung juga ngurusin datanya yang tiap instansi beda kebijakan. Jadi ngurangin tiap lembaga jadi punya pegawai sendiri buat ngelola pajak pribadi ini di instansinya gitu. Sedikit agak ga efesien dan ga fokus ke jobdesknya jadinya.

Soalnya kalo diitung sesuai apa yang di video buat kelas menengah bawah total persentasenya ±14-17% hampir sama kaya negara lain sih. Pajak itu dikumpulin semuanya jadi satu di kemenkeu. Kemenkeu ini dibagi dua ada yang ngurusin dana pajak pribadi sama pajak pemerintah. Pajak pribadi di kelompokin berdasarkan prioritasnya jadi 3 kelompok.

Kelompok pertama
buat urgent bangettt, yang kita ga bisa ngapa-ngapain kalo ga ada dana ini. Jadi pake investasi yang risknya ringan dan gampang dicairin
Misal sekitar 50% bagiannya buat kesehatan, urgency ketika kita nganggur, kena bencana

Kelompok kedua (secondary). Investasinya medium
Misal sekitar 30% bagiannya jadi ini bisa buat biaya kuliah, biaya sertifikasi.

Kelompok ketiga. Investasinya high risk kaya saham
Misal sekitar 15% bagiannya buat tabungan pensiun, beli rumah. 5% buat kelola pemerintahan dan pembangunan negara. 

Ini jumlah bener"" buat negaranya emang terbilang sedikit, tapi jumlah masyarakat Indonesia kan banyak. Belum sama yang dihasilin dari pajak ketika kita makan di resto, supermarket, transportasi umum, pajak sanksi, dll. Jadi kayanya bisa terkumpul uang buat ngebangun negara cukup banyak. Nah jumlah pajak pajak ini yang dikumpulin dan diurus sama kemenkeu yang ngurus pajak pemerintah. Pajak pemerintah ini buat biaya pembangunan negara + bisnis negara dan diproporsiin sama mereka tiap instansi berapa persen berdasarkan prioritasnya. 

Terus masing masing penduduk yang bayar pajak tadi, dikasih kartu semacam e money. konfirmasi pake sidik jari dan retina mata buat bisa akses kelompok 1 dan 2. Kelompok 3 nya baru dikasih ketika dia pensiun, ketika dia bener bener banget butuh rumah misalnya karena kejadian longsor rumahnya rusak ga ada sisanya gt,  kerusakan rumah yang fatal banget sampai ga layak huni, atau ada sesuatu di rumah dia yang kalo dia ga punya rumah sendiri hubungan rumah tangganya bakal retak.

Tiap penggunaan langsung ke tracking, dimana data pribadi + penggunaannya langsung terkirim ke pusat. Jadi langsung terdata siapa aja yang pake, berapa persen pengangguran, siapa yang pake buat penyalahgunaan 'e money ini', dll. ini juga biar pemerintahnya tau apa yang harus diperbaiki, ngurangin bansos salah sasaran dan disalahgunakan juga mungkin.

Pr besarnya, gimana cara satu instansi ke instansi lain 'nyatu' bukan masalah data aja tapi keseluruhannya juga gt.",True
12,@arifinsp9-wf5tz,2024-07-18T03:33:08Z,0,"Kadang sering bertanya tanya, para pemerintah (orang yg berhubungan) suka nontonin vidio² dari para conten creator yg kritik mereka gk ya? Kebanyakan pada gak ngefek",True
13,@4everTheReds,2024-07-17T11:31:15Z,0,Koruptor dihukum mati dulu baru mau ikut tapera,True
14,@sandratekid9236,2024-07-17T02:06:52Z,0,"dengan wacana konyoll gini,, saya mikirnya itu pejabat2 sini apa gak malu sama pemerintah negara2 tetangga..? soalnya keliatan bangett kan ketololannya. 😅 asli jadi bener2 keliatan kualitass pejabat di negri konoha..",True
15,@fitriaditri305,2024-07-17T01:03:26Z,0,Pemerintah belum siap dan rakyat tidak percaya yg dimulai dari tidak mau baca juga,True
16,@user-qm6lx5vu5k,2024-07-13T17:44:16Z,0,"Jika dana Haji  yg menyangkut surga dan neraka saja bisa dikorupsi..


Jika dana bansos yg jelas jika kt korupsi Tuhan akan sangat amat teramat marah bahkan mgkn akan mengutuk keluarga hingga anak2 kita, aja dikorupsi..


Apalagi TAPERA yg cm sekedar RUMAH, bukan dana HAJI bukan juga BANSOS...

Ya jelas pasti di kor*ps* lah..


Sebelum buat program sarna lunaskan dulu itu yg lama2..

Jgn pakai sistem gali lubang tutup lubang, krena tapera2 yg kmrn g bs cair, skrg cari dana utk tutup lubang tp caranya dgn gali lubang lain..

Kasihan nanti presiden2 dan rakyat2 selanjutnya yg hrus tutup lubang yg baru itu.. Yg skrg mah enak dah pensiun balik kota Sol* santai2 ama cucuknya Ja* Esteh...",True
17,@user-qm6lx5vu5k,2024-07-13T17:37:00Z,0,"Logija TAPERA ini, dari 200jt org dewasa di indonesia yg rasakan manffat mgkn cm 100jt, yg 100jt sisanya tersiksa...

Demi cm bantu yg 100jt org lainnya itk berhutang (bkn dikasih rmh lho yah bedakan)

Jdi kt anggap 200jt yg bayar tapera, 100jt org penghasilna di bwh 8jt, 100jt org diatas 8jt..

Yg penghasilan tinggi ga dpt manfaat apa2 sama sekali, yes sama sekali, tapi nanti kan dikelola manajemen investasi, investasi itu jg ada risk, bs aja nanti dibilang oh lagi ada inflasi, pasar modal lg anjlok, lalu uang kt dihilangkan dgn alasan demimian bisa dgn alasan ""INI MUSIBAH TANGGUNGJAWAB KT BERSAMA""


Dan lucunya yg penghasilan rendah bukan dapat RUMAH GRATIS tp cm dpt KREDIT MURAH.. Jdj warganya yg miskin dipaksa utk berhutang ke pemerintah selama 30thn, dan tahukah kalian byk ahli ekonomi dan ahli sosial sepakat bhwa  hutang piutang, is modern day slavery.. Yg punya duit slavery yg miskin...


Udh miskin penghasikan rendah, gaji dipotong 3% dikasih rmh jelek, kecil, jauh dan TIDAK BISA MEMILIH... Terus diperbudak selama 30thn harus bayar kredit... Dan selama 30thn gaji kt jg dipotong 3% WOW!!!

Bayangin yah klo kt dpt KPR di thn 2025 baru lunas thn 2055, klo mulai cicilan umur 30 baru lunas umur 60thn.. selama 30thn itu kt hrus bayar cicilan + bayar tapera 3% + bayar BPJS + bayar PPH + 1001 pajak lainnya.... Pertanyaan saya begini jika si org yg dibantu KPR ini nyicil 30thn, lalu dia di thn ke 29 ga mampu bayar, krena lets say jatuh sakit atau kena PHK... Apakah rumah akan ditarik? Atau akan langsung dianggap lunas oleh pemerintah??  Jika iya ditarik, maka fix 29thn dia adalah 29thn perbudakan..

TAPERA ini bukan win win solution, bkn jg win lose solution, ini lose lose solution..

Yg kaya rugi g dpt apa2, yg miskin kena jebakan batman, masuk PERBUDAKAN HUTANG...

Sealam menikmati 30thn jadi budak HUTANG, yg dipaksa pemerintah sndiri",True
18,@muhammadihsan7143,2024-07-11T22:46:58Z,0,Oke Gas buat IKN,True
19,@magung2653,2024-07-11T16:50:26Z,0,Awas dikorupsi... 🤫🤭,True
20,@victorihoror2102,2024-07-08T23:02:27Z,0,Lu di endors brp sih ?,True
21,@iswannovriyanda6425,2024-07-08T22:31:48Z,0,"fyi bang kalo 2,5 % di bayar pemerintah kalo 0,5% di bayar pegawai. kalo swasta ikutan investornya teriak wkwk",True
22,@Pensi_anjay,2024-07-08T12:52:50Z,0,Tebak siapa dulu yg ketangkep?,True
23,@chelseajos2503,2024-07-07T21:11:16Z,0,"aku bangga sih di bagian 03 yg 16%, jogetin saja gak sih oke gas oke gas oke gas oke gas.",True
24,@GoodWill-ij3er,2024-07-05T01:20:56Z,0,"Anda mengulasnya dengan sangat baik.
Yg paling membuat banyak orang menolak, menurut saya adalah potensi korupsi di lembaganya.
Kalau ada yg dikorup seperti asuransi (beberapa), belum pernah ada kan ucapan jaminan dari pemerintah?
Ingat berapa banyak nasabah bank century yg uangnya hilang begitu aja, dan pemerintah mengambil sikap masa bodo.
Gak jelas satu orang yg bisa dimintai pertanggungjawabannya",True
25,@suriptoirianto4191,2024-07-04T08:51:32Z,0,"Sudahlah. Kalau memang Pemerintah berniat baik ingin membuatkan rumah untuk masyarakat yang kurang mampu ... maka talangi dulu buatkan rumahnya, dan akan diangsur oleh masyarakat yang mendapatkan rumah melalui program TAPERA.
Jadi tidak khawatir akan ada akal-akalan.

Dulu tahun 70-an saja Perumnas sudah mampu membuatkan rumah, antara lain di Depok dengan angsuran relatif terjangkau waktu itu, Rp.10 ribu/bulan selama 20 tahun sejak tahun 1976.

Masa sekarang yang konon sudah maju, malah tidak mampu.",True
26,@MrStelloMEllo,2024-07-03T20:26:30Z,0,"Kalau di Malaysia, semua orang cari kerja yang ada EPF. Potong rata 7-11%, company perlu contribute 13%. Tabung dipecah 3 akaun, akaun 1 hanya boleh keluar masa hari tua.",True
27,@user-hd5kh7fb3x,2024-07-02T20:48:57Z,0,"Yang jadi problem utama itu tingkat kepercayaan masyarakat terhadap pemerintah, ya ngertilah pemerintah wakanda gudangnya Tikus dari bawah sampe atas😂..
Salah satu dampak dari pemerintah banyak di duduki oleh orang² yang tidak berkompeten di bidangnya..",True
28,@makaronipedas9427,2024-07-02T08:21:15Z,0,maling galo kate urang jmbi.,True
29,@asepmaulana1262,2024-07-01T09:23:12Z,0,"""dari rakyat untuk pejabat""",True
30,@Tonirampokable,2024-06-30T15:48:46Z,0,"Gini bang, yg bikin orang (termasuk saya) ga ikhlas dikenain tapera
1. peserta Tapera yang bisa menikmati manfaatnya hanya golongan masyarakat berpendapatan rendah ** (bintang2 karena masih ada kriteria2 detailnya lagi). Bagi orang yang middle class dengan kondisi cicilan existing, ini memberatkan dong. apa manfaatnya buat kami? kalau BPJS & Pajak, jelas2 semua kelas masyarakat bisa menikmati hasilnya. Tapera?
2. Tapera disinyalir dapat digunakan sebagai crowd funding pemerintah untuk membiayai IKN. gimana caranya? Tapera kabarnya akan ""MEMUTARKAN"" uangnya di obligasi negara. Obligasi negara fungsinya untuk membiayai APBN. salah satu porsinya adalah makan siang gratis & IKN. Saya tau, negara ini hanya milik segelintir orang saja, tapi kali ini mudharatnya besar sekali dengan memaksa semua kelas masyarakat untuk melakukan ini. Refer ke point 1, tidak ada manfaatnya bagi kaum middle class keatas.
3. Potensi korupsi sangat-sangat besar. Sejak kasus Mario Dandy, tingkat kepercayaan masyarakat turun drastis. sejujurnya, opini pribadi saya, hampir pasti uang Tapera nya akan di selewengkan oleh oknum mayoritas (get it? oknum tapi mayoritas)
4. Tapera ini sama seperti bansos (yg apalagi penjudi online mau dikasih). ini alat untuk rezim sekarang menggaet suara-suara orang miskin. Saya tinggal di desa,rekan-rekan saya semua jadi pemalas gara-gara ini. mereka di umur produktif, hanya ungkang2 kaki tiap hari, dapet sembako dan bbrp juta. kalau memang 58% warga indonesia memilihnya, wajar, karena memang di manjakan dengan bansos & hal2 kaya gini. Mereka dilarang untuk kaya oleh pemerintah, tetaplah malas dan bodoh, tapi kalian dibayarin hidupnya.

All in all, gausah bawa narasi gotong-royong untuk membantu saudara2 kita beli rumah, kami tau itu semua hanya cover.
Ini semua hanya opini saya sebagai kaum karyawan gen triple-sandwhich yg harus membantu 2 keluarga dan mengurus keluarga saya pribadi.
walaupun saya tidak pernah ridha dan ikhlas, kalau pemerintah sebagai amirul mukminin sudah memutuskan, maka akan saya ikuti.",True
31,@ro17key52,2024-06-30T10:47:47Z,0,Ya artinya konoha uda krisis. Pemerintah terlalu rakus.,True
32,@raknight23,2024-06-30T08:51:24Z,0,Harap Indonesia punya ide terbaik utk warga warga yg kurang mampu 😢,True
33,@farhanm8380,2024-06-30T05:12:04Z,0,wkwk bpjs??? gw bg ke rumah sakit pake bpjs di cuekin,True
34,@edrickandrew1414,2024-06-30T03:32:18Z,0,"Sy suka kontennya bg Raymond ini, kalo bahas tema apapun sgt lugas mudah dimengerti serta singkat padat 👍👍👍",True
35,@muhammadsatar2223,2024-06-29T13:58:25Z,0,"Bikin sistem yg masuk akal aja....... Sudah 2 priode rakyat di bohongi, apa kurang puas anda membuat rakyat sengsara.......j",True
36,@user-zo4lu9yw8d,2024-06-29T09:31:23Z,0,Kalau itungan matimatika gk bakal dapat cuma untuk ngeruk duit rakyat,True
37,@yuzuruuu0440,2024-06-29T05:42:43Z,0,PETISI! AYOK BIKIN PETISI!!!!,True
38,@yusufarata8651,2024-06-28T19:49:36Z,0,boleh2 aja asal ruu perampasan aset utk para koruptor di sahkan.itu baru cengli. Selama itu belum di sah pikir2 dulu.,True
39,@putryambarsm3209,2024-06-28T13:49:10Z,0,"Simpel aja.. uang tapera itu kalo di taro ke bank.. bunga tabungannya lari kmn? Dan buat apa?? Itu aja..   100jt penduduk x 100rb aja.. udh 10Triliun per bulannya.. di x 1 tahun 120T.. contoh: uang twrsebut taro di BCA digital Blue yg suku bunga tabungannya sampai 3%/tahun..   3% dari 120T.. bisa 3,6T tuh pertahun..  belum nanti di gulung terus tiap tahunnya.. 😂😂 buat pejabatnya maen candy crush enak tuh kayanya.. topup 100jtmah gak kliatan.. 😂😂😅",True
40,@cleopi9322,2024-06-28T08:25:29Z,0,😂😂😂😂   Jngan Termakan   dia SALES marketing guys 😂😂😂😂,True
41,@anditamaharani13,2024-06-28T02:39:03Z,0,BAHAN KORUPSI BARU😮,True
42,@Bayshu,2024-06-27T16:00:31Z,0,yang jenius itu tanpa potongan gajih tanpa utang  bisa menyediakan rumah murah yang terjangkau sesuai daya beli masyarakat.,True
43,@hikarialuqito9990,2024-06-27T11:57:32Z,0,Awalnya skeptis dr judul videonya krn udah takut duluan isinya ga fair dan dukung pemerintah tapi setelah nonton jadi lega krn isinya informatif dan seimbang. memang banyak hal yg bikin tapera ini rawan buat disalahgunakan dan bikin memberatkan rakyat. Great video!,True
44,@rajawalimuda5130,2024-06-27T10:42:44Z,0,"Untuk pekerja yg bukan karyawan, buruh harian lepas, padagang usaha mikro, bisa gak sih ikut program Tapera???

Serius nanya",True
45,@PipoHargiyanto,2024-06-27T09:49:01Z,0,Insightful Mas Raymond 👍🏻,True
46,@aaakarepMU,2024-06-27T09:09:52Z,0,"UANG TAPERA=>UANGNYA DITRADING=>HARAPAN UNTUNG BESAR=>BISA BERIKAN PERUMAHAN=>SISANYA DI TRADING LAGI TERUS MENERUS......BERES.
---------------------------------
1000% CARA DIATAS.....MASALAHNYA ADALAH YG AKAN KELOLA TUYUL ATAU BUKAN....KLU TUYUL MAKA AKAN BERMASALAH UANGNYA BAHKAN LENYAP..........KLU BKN TUYUL YG KELOLA MAKA SANGAT BAGUS......GITU AJA REPOT.",True
47,@sogoktuntheng,2024-06-27T05:09:29Z,0,"Setuju sih, kalo pemerintah dan pengelola nya bersih,jujur,dan baik hati
 Yg jdi pertanyaan Apakah yg bertahta di negara konoha ini orang nya jujur"" ??
 KAN ENGGAK 😂😂",True
48,@alopohu,2024-06-27T05:05:23Z,0,"Bro @Raymond Chin sehat..? Udah 2 mingguan ga upload konten lagi 
🤔",True
49,@rafliyaumil8812,2024-06-27T01:16:43Z,0,"2013, ditolak oleh presiden SBY. Karena beliau paham betul seluk beluk negara kita. Yet, somehow 2016 TAPERA diresmikan.

Ada apa sih dengan negara kita? Apa sebegitu masif nya keserakahan dikalangan atas?? Mau dibawa kemana negara Indonesia?",True
50,@harrymujiono9403,2024-06-26T16:15:07Z,0,"Kalo IKN…ko oke2 aja , Sadar ga ? Knp program 2 pemerintah aneh karena untuk biaya IKN.. ga kepikiran ke arah situ ya???",True
51,@blueocean1561,2024-06-26T09:29:35Z,0,Kalau gue bilang hebat ya bpk pimpinan konoha dy waktu selenggara pemilu kemarin adem banget eh pas si anakandanya menang langsung JOOOORRR program yang disimpan langssuuuung di publish.. Liciiikk btulll😂😂😂 eh lupa tungguin aja besok yg baru utk pemimpin konoha kan visi misi mau naikin pajak tuhh beeeuuhh gilaaa ngesot ngesot dah rakyat😂,True
52,@julianasari5601,2024-06-26T09:24:28Z,0,kalau pajak ya silahkan aja gitu yang pasti jangan di korupsi dan bener2 di laksanakan.kadang sakitnya udh bayar pajak ending2nya di korupsi.jadi malas bayar pajaknya,True
53,@arifmahendra6207,2024-06-26T05:41:25Z,1,Masalahnya masyarakat udah gak percaya sama pemerintah,True
54,@noogies5343,2024-06-26T05:19:31Z,0,"intinya pemerintah ga bisa kerja utk bidang macam2, itulah yg menyebab DISTRUST masyarakat terhadap pemerintah...iyalah ga bisa kerja, kenyataannya korupsi masih banyak...

supaya masyarakat TRUST terhadap pemerintah, pemerintah harus buktikan bisa kerja, hanguskan korupsi dgn embel2 HAM, hanguskan hukum yg tumpul, dll...selama ini ga bisa berubah, jgn harap masyarakat akan TRUST...!",True
55,@HarsHKids,2024-06-26T03:36:00Z,0,"Dana haji Dana Pengadaan Alquran sj disikat ini menyangkut agama(hubungan manusia dengan penciptanya)
Gimna dgn yg lain?
Gaji secukupnya dipangkas lagi
Coba gaji pegawai dinegara lain yg jauh lebih besar mungkin boleh",True
56,@celanasobek24,2024-06-26T01:38:21Z,0,12:11 kalau anda bilang rakyat biasa maka aku rakyat jelata😅,True
57,@erypakuantoro1900,2024-06-25T16:59:15Z,0,Request dong bang Budaya Korupsi di Indonesia,True
58,@erypakuantoro1900,2024-06-25T16:58:26Z,0,"Sebenernya masyarakat bukan masalahin tapera, cuman masalahin pemerintahan budaya korupsi di pemerintahan. Itu yg masih PR Besar di Indonesia",True
59,@Shuvi123,2024-06-25T12:54:26Z,0,"Logika simple: dana tapera ASN aja gagal, yg ruang lingkup nya lebih kecil aja gagal, kok berani realisasiin untuk 1 negara? Gw rasa ini cuma akal""an pemerintah untuk ""tutup lubang"" dana tapera ASN yg bocor, dgn cara narik dana dri masyarakat luas..",True
60,@Bacotluanjink,2024-06-25T11:42:48Z,0,"Ah elah selagi yg ngomong pemerente omong kosong semua.
Apalagi pejabat era Jokowow, ga ada yg lurus bacotnya.",True
61,@decsyanty8454,2024-06-25T10:13:19Z,0,Daripd dipotong yg kg jelas trs duitnya ilang... mending jd tkw atau tki aja.. jelas klu nabung beli rmh atau bangun rmh..,True
62,@kodi4535,2024-06-25T05:32:48Z,0,"TAPERA Tidak merubah masyarakat semakin cerdas tetapi semakin Miskin
Tapera membuat korupsi besar oleh anggota pemerintah",True
63,@carabisnisid,2024-06-25T04:55:10Z,0,"Sudah punya rumah, ngapain ikut.... gak mau riba, kenapa ikut.... 
Ngapain wajib...",True
64,@FadilSUKAGEM,2024-06-25T04:29:13Z,0,Lu nyalon jadi presiden aja bg😂,True
65,@mudza,2024-06-25T03:35:34Z,0,"Persamaan pemerintah sama preman,sama"" suka malak,bedanya penerintah malak pake kebijakan,jd terlihat beraturan pdahal tindakanya sama"" biadab",True
66,@agussujarwo1501,2024-06-25T01:52:48Z,0,Jadi masalahnya adalah KORUPSI? Tenang menurut Gerinda disampaikan oleh Fadli Zon. Suap menyuap itu adalah OLI nya pembangunan. Suap menyuap itu ya salah satu bentuk lain dari Korupsi. Nah bagaimana kita bisa menyerahkan pengelolaan kepada pemerintah yang memandang KORUPSI itu adalah hal positif yang membantu proses pembangunan. JOGETIN SAJA GITU...??,True
67,@Yan-Novi,2024-06-25T00:59:40Z,0,Tapera untuk membiayai IKN .... lol,True
68,@akhmadkhamdani,2024-06-24T12:37:23Z,0,"Ya kalo pejabatnya amanah umr aja 2jt,padahan harga bahan pokok sama😢",True
69,@biondy7475,2024-06-24T09:01:49Z,0,Lol,True
70,@Son-of-Malice,2024-06-24T08:48:54Z,0,Ya makan gratis ama ikn kan butuh dana nah dibuatlah TAPERA 😂😂😂😂😂😂😂😂😂😂,True
71,@doditsidurajo,2024-06-24T08:15:35Z,0,"..Uang kertas itu bukan uang 
Itu investasi 
Crypto
Saham
Emas
Tanah",True
72,@WoozyKevin,2024-06-24T05:53:13Z,0,"Menurut gw tapera ini bakal diterima masyarakat asalkan Aturan Hukum mati koruptor juga disahkan.

dan kalo bisa orang-orang yg udh punya rumah pribadi juga dikasih benefit misalnya listrik gratis dll",True
73,@nosahdi,2024-06-24T05:36:40Z,0,negara lain memang niat membantu rakyat. kalo tapera disini hanya alibi biar ngeruk duit. tai,True
74,@WERNAWERNABAE,2024-06-24T00:23:42Z,0,Kasih bukti dulu kepesertaan sebelumnya jangan cuma diganti nama programnya doang,True
75,@araa6150,2024-06-23T17:17:40Z,0,Bg bahas indonesia emas dong,True
76,@Wan._,2024-06-23T15:00:53Z,0,Di indonesia program sperti ini hnya akan mnjadi lahan baru bagi para korup🤣🤣🤣,True
77,@oposite755,2024-06-23T14:27:03Z,0,"negri ini cuma di jadikan 
lahan bisnis,,",True
78,@muhammadnurgosin8486,2024-06-23T13:02:58Z,0,Yu ulang yuk kita demo besar-besaran lagi seperti tragedi Trisakti..... sepertinya hanya itu cara agar pemerintah dengar masyarakat,True
79,@feedjuns1503,2024-06-23T12:54:14Z,0,"im with u bang, ttep semangat menyuarakan dan mengedukasi",True
80,@K1jaj1999jejheh,2024-06-23T12:42:03Z,1,Koh bahas Muhammadiyah tarik dana uang dari BSI 🙏🏻🙏🏻🙏🏻,True
81,@poisonvenom5695,2024-06-23T10:27:27Z,0,"kalau di malaysia EPF 11% dipotong dari gaji,majikan tambah 12%...tapi multi fungsi...boleh keluarkan ketika darurat juga misalnya covid19.
malah kalau yg tidak mau dipotong EPF dianggap bodoh. kenapa bodoh? kau simpan sendiri di bank 11% tapi kau tidak dapat tambahan 12% dari majikan dan 7% dari pemerintah.",True
82,@hero5977,2024-06-23T08:07:43Z,0,3% itu hanya utk tampung inflasi aje.. silap2 kalu inflasi negara lbh 3% jd nilai duit itu jd lbh miskin... 😂,True
83,@didinsaifudin2241,2024-06-23T06:48:35Z,0,sistim pemerintahan yg sudah kiamat rusaknya,True
84,@sniperkacang9822,2024-06-23T04:48:29Z,0,Pemerintah atau penggagas ide Tapera ini BODOH..... Seharusnya jika bener sudah ada dana Triliunan ya buat bangun rumah dulu lah.... Trus kira kira harganya itu bisa kebeli engga oleh para nasabah Tapera nanti... Dg gaji yg serba pas pasan aja kok mau di potong. Saya pribadi pesimis pemerintah akan mampu menyediakan rumah buat semuanya... Secara masa kerja beda beda dan ga semua selalu kerja..,True
85,@LowHonorHGF-x4791,2024-06-23T03:06:55Z,1,"Menurut saya, untuk program Tapera ini, Tapera ini bisa berhasil, dengan catatan kalo Tapera bukan satu-satunya tabungan buat beli rumah, karena Tapera sangat kecil, dan karena adanya orang berprnghasilan tinggi, Tapera bisa berhasil, tetapi dengan catatan uang dari Tapera itu semua masyarakat mengumpulkan lalu diolah pemerintah jadi rumah. Kalo Tapera per pribadi, gak bisa, karena yang penghasilan rendah kurang tahu.

So, gw gak setuju.",True
86,@user-gp4lp4xx5t,2024-06-22T23:47:25Z,0,Lu sama temoti kayaan siapa bg sekarang,True
87,@user-im1vs3qr9x,2024-06-22T17:37:15Z,0,Mending aku berenti kerja pt dari pada di kasikan ke ke setan berdasi,True
88,@OnBlackWhite,2024-06-22T15:59:12Z,0,Hitung hitungannya aja gak masuk akal kok didukung. ini kata Komisioner BP Tapera yang mengatakan 😂😂,True
89,@yogirafid73,2024-06-22T15:21:52Z,0,Rumah nya dimana??,True
90,@ekowibisono9301,2024-06-22T15:16:50Z,0,"Apa yang bisa dipercaya dari Pemerintah Konoha?? BPJS aja pelayanan nya ogah²an.
Bisa nya nguras rakyat aja.",True
91,@svenzdaily,2024-06-22T11:51:36Z,1,"bro bahas phk industri tekstil yg lagi booming sekarang, biar netizen maha benar yg selalu menyalahkan 58% bisa paham",True
92,@rizkialcantara9963,2024-06-22T11:39:17Z,0,negara konoha ini korupnya udah gak ketulungan. Jdi mau bikin program apapun dah pasti kaya dipaksa sedekah aja harus ikhlas,True
93,@WAHYU-ox5zu,2024-06-22T10:35:20Z,0,"klo cuma ngomong dn dukung sh bs aja,,,semua bs,,! uang rakyat dikorupsi pemerintah namanya kebijakan,, cuma diperhalus aja kesannya .!",True
94,@muhammadabdurrahman9390,2024-06-22T10:08:39Z,0,Kami rakyat udah gak percaya sama pemerintah mereka berbagai cara akan akal bulus buat korupsi 😂😂😂😂hukum para korupsi di pertegas aja dulu baru masyarakat percaya 😂😂😂😂hukum Indonesia saja sangat amat lemah gimana masyarakat mau percaya sama pemerintah😂😂😂😂,True
95,@andikaprayogi6541,2024-06-22T09:02:16Z,0,"Programnya abu-abu 
Pejabatnya ga bisa dipercaya",True
96,@maroktamedistra1515,2024-06-22T06:44:26Z,0,"Bukan TAPERA, tapi TAKORA (Tabungan Kosan Rakyat), masa kerja 30 tahun hanya 4,6 juta. Haya cukup biaya ngekost.....!!!",True
97,@ghanagandara9178,2024-06-22T01:51:26Z,0,"programnya bagus, pengawasannya buadjingan semua hahaha",True
98,@HenzZ-96,2024-06-22T01:40:06Z,0,Potongan gaji pekerja di malaysia utk EPF itu 11%,True
99,@iksonsaputra2874,2024-06-21T23:08:02Z,0,Tapera itu uangnya dimasukin ke obligasi nah apbn kita minus jadi harus ngutang jadi tapera itu bisa aja masuk ke apbn nah apbn di buat untuk ikn jadi uang tapera itu masuk ikn iji sebenarnya gak penting amat bisa bertahap,True
